system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_parquet,L1,daily,q59,day,1 day,496,496,100.0,3,0.7932432500238065,0.7932432500238065,0.7857647500059102,115
duckdb_parquet,L1,daily,q510,day,1 day,496,496,100.0,3,0.6450851249974221,0.6450851249974221,0.6413112500158604,194
duckdb_parquet,L1,daily,q511,day,1 day,496,496,100.0,3,0.6727902079874184,0.6727902079874184,0.6586747079854831,163
duckdb_parquet,L1,daily,q57,week,1 week,496,992,200.0,3,3.1233167089812923,3.1233167089812923,3.11251170898322,4
duckdb_parquet,L1,daily,q58,week,1 week,496,496,100.0,3,3.8160424579982646,3.8160424579982646,3.7891867909929715,165
duckdb_parquet,L1,daily,q59,week,1 week,496,496,100.0,3,4.972766458027763,4.972766458027763,4.869560666993493,622
duckdb_parquet,L1,daily,q510,week,1 week,496,496,100.0,3,4.83511433401145,4.83511433401145,4.545883582992246,343
duckdb_parquet,L1,daily,q511,week,1 week,496,496,100.0,3,5.158659084001556,5.158659084001556,4.223572124989005,264
duckdb_parquet,L2,daily,q57,hour,1 hour,4154,8308,200.0,3,0.7537055409920868,0.7537055409920868,0.7336720830062404,2
duckdb_parquet,L2,daily,q58,hour,1 hour,4154,4154,100.0,3,0.4004541659960523,0.4004541659960523,0.3709662089822814,56
duckdb_parquet,L2,daily,q59,hour,1 hour,4154,4154,100.0,3,0.39735612500226125,0.39735612500226125,0.3645467910100706,27
duckdb_parquet,L2,daily,q510,hour,1 hour,4154,4154,100.0,3,0.39111691698781215,0.39111691698781215,0.3776252499956172,75
duckdb_parquet,L2,daily,q511,hour,1 hour,4154,4154,100.0,3,0.3838199580204673,0.3838199580204673,0.38257354201050475,60
duckdb_parquet,L2,daily,q57,day,1 day,4154,8308,200.0,3,0.7587503330141772,0.7587503330141772,0.7285705840040464,4
duckdb_parquet,L2,daily,q58,day,1 day,4154,4154,100.0,3,0.496782375004841,0.496782375004841,0.4739762920071371,95
duckdb_parquet,L2,daily,q59,day,1 day,4154,4154,100.0,3,0.6897774999961257,0.6897774999961257,0.6882524999964517,113
duckdb_parquet,L2,daily,q510,day,1 day,4154,4154,100.0,3,0.4630895000009332,0.4630895000009332,0.45693283301079646,193
duckdb_parquet,L2,daily,q511,day,1 day,4154,4154,100.0,3,0.5486426669813227,0.5486426669813227,0.5306677079934161,163
duckdb_parquet,L2,daily,q57,week,1 week,4154,8308,200.0,3,0.7636550419847481,0.7636550419847481,0.7093250000034459,4
duckdb_parquet,L2,daily,q58,week,1 week,4154,4154,100.0,3,1.1879412090056576,1.1879412090056576,1.1689214590005577,165
duckdb_parquet,L2,daily,q59,week,1 week,4154,4154,100.0,3,3.2277302500151563,3.2277302500151563,3.193526292016031,620
duckdb_parquet,L2,daily,q510,week,1 week,4154,4154,100.0,3,1.8321608330006711,1.8321608330006711,1.7424893340212293,342
duckdb_parquet,L2,daily,q511,week,1 week,4154,4154,100.0,3,2.232554791989969,2.232554791989969,2.10886395801208,263
duckdb_parquet,L3,daily,q57,hour,1 hour,4133,8266,200.0,3,0.7912504159903619,0.7912504159903619,0.7476420830062125,1
