system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_iceberg_rest,L2,daily,q58,hour,1 hour,4154,2,0.0,3,0.163,0.163,0.163,56
duckdb_iceberg_rest,L2,daily,q59,hour,1 hour,4154,5,0.1,3,0.092,0.092,0.092,27
duckdb_iceberg_rest,L2,daily,q510,hour,1 hour,4154,5,0.1,3,0.079,0.079,0.079,75
duckdb_iceberg_rest,L2,daily,q511,hour,1 hour,4154,5,0.1,3,0.079,0.079,0.079,60
duckdb_iceberg_rest,L2,daily,q57,day,1 day,4154,12,0.3,3,0.195,0.195,0.195,4
duckdb_iceberg_rest,L2,daily,q58,day,1 day,4154,4,0.1,3,0.272,0.272,0.272,95
duckdb_iceberg_rest,L2,daily,q59,day,1 day,4154,12,0.3,3,0.456,0.456,0.456,113
duckdb_iceberg_rest,L2,daily,q510,day,1 day,4154,12,0.3,3,0.219,0.219,0.219,193
duckdb_iceberg_rest,L2,daily,q511,day,1 day,4154,12,0.3,3,0.239,0.239,0.239,163
duckdb_iceberg_rest,L2,daily,q57,week,1 week,4154,52,1.3,3,0.219,0.219,0.219,4
duckdb_iceberg_rest,L2,daily,q58,week,1 week,4154,20,0.5,3,0.967,0.967,0.967,165
duckdb_iceberg_rest,L2,daily,q59,week,1 week,4154,51,1.2,3,2.898,2.898,2.898,620
duckdb_iceberg_rest,L2,daily,q510,week,1 week,4154,51,1.2,3,1.721,1.721,1.721,342
duckdb_iceberg_rest,L2,daily,q511,week,1 week,4154,51,1.2,3,1.846,1.846,1.846,263
duckdb_iceberg_rest,L3,daily,q57,hour,1 hour,4133,4,0.1,3,0.18,0.18,0.18,1
duckdb_iceberg_rest,L3,daily,q58,hour,1 hour,4133,2,0.0,3,0.153,0.153,0.153,54
duckdb_iceberg_rest,L3,daily,q59,hour,1 hour,4133,5,0.1,3,0.086,0.086,0.086,27
duckdb_iceberg_rest,L3,daily,q510,hour,1 hour,4133,5,0.1,3,0.074,0.074,0.074,74
duckdb_iceberg_rest,L3,daily,q511,hour,1 hour,4133,5,0.1,3,0.074,0.074,0.074,59
duckdb_iceberg_rest,L3,daily,q57,day,1 day,4133,12,0.3,3,0.189,0.189,0.189,4
duckdb_iceberg_rest,L3,daily,q58,day,1 day,4133,4,0.1,3,0.279,0.279,0.279,95
duckdb_iceberg_rest,L3,daily,q59,day,1 day,4133,12,0.3,3,0.465,0.465,0.465,112
duckdb_iceberg_rest,L3,daily,q510,day,1 day,4133,12,0.3,3,0.244,0.244,0.244,193
duckdb_iceberg_rest,L3,daily,q511,day,1 day,4133,12,0.3,3,0.264,0.264,0.264,162
duckdb_iceberg_rest,L3,daily,q57,week,1 week,4133,52,1.3,3,0.204,0.204,0.204,4
duckdb_iceberg_rest,L3,daily,q58,week,1 week,4133,20,0.5,3,1.097,1.097,1.097,165
duckdb_iceberg_rest,L3,daily,q59,week,1 week,4133,51,1.2,3,2.924,2.924,2.924,620
duckdb_iceberg_rest,L3,daily,q510,week,1 week,4133,51,1.2,3,2.039,2.039,2.039,342
duckdb_iceberg_rest,L3,daily,q511,week,1 week,4133,51,1.2,3,2.089,2.089,2.089,263
duckdb_iceberg_rest,L4,daily,q57,hour,1 hour,744,16,2.2,3,0.047,0.047,0.047,1
