Building L4 for 2026-01 from L0=data/L0 → data/layouts/L4_t1h_daily
  L4: 24 hours (granularity=daily)
  L4 day=2026-01-10 hour=10 rows=485
  L4 day=2026-01-10 hour=11 rows=441
  L4 day=2026-01-10 hour=12 rows=868
  L4 day=2026-01-10 hour=13 rows=437
  L4 day=2026-01-10 hour=14 rows=508
  L4 day=2026-01-10 hour=15 rows=478
  L4 day=2026-01-10 hour=16 rows=455
  L4 day=2026-01-10 hour=17 rows=397
  L4 day=2026-01-10 hour=18 rows=810
  L4 day=2026-01-10 hour=19 rows=357
  L4 day=2026-01-10 hour=20 rows=1470
  L4 day=2026-01-10 hour=21 rows=806
  L4 day=2026-01-10 hour=22 rows=459
  L4 day=2026-01-10 hour=23 rows=454
  L4 day=2026-01-11 hour=0 rows=1987
  L4 day=2026-01-11 hour=1 rows=414
  L4 day=2026-01-11 hour=2 rows=419
  L4 day=2026-01-11 hour=3 rows=470
  L4 day=2026-01-11 hour=4 rows=467
  L4 day=2026-01-11 hour=5 rows=652
  L4 day=2026-01-11 hour=6 rows=965
  L4 day=2026-01-11 hour=7 rows=637
  L4 day=2026-01-11 hour=8 rows=680
  L4 day=2026-01-11 hour=9 rows=796
  L4 day=2026-01-11 hour=10 rows=804
  L4 day=2026-01-11 hour=11 rows=743
  L4 day=2026-01-11 hour=12 rows=1327
  L4 day=2026-01-11 hour=13 rows=814
  L4 day=2026-01-11 hour=14 rows=961
  L4 day=2026-01-11 hour=15 rows=866
  L4 day=2026-01-11 hour=16 rows=759
  L4 day=2026-01-11 hour=17 rows=711
  L4 day=2026-01-11 hour=18 rows=1243
  L4 day=2026-01-11 hour=19 rows=615
  L4 day=2026-01-11 hour=20 rows=533
  L4 day=2026-01-11 hour=21 rows=597
  L4 day=2026-01-11 hour=22 rows=556
  L4 day=2026-01-11 hour=23 rows=420
  L4 day=2026-01-12 hour=0 rows=1992
  L4 day=2026-01-12 hour=1 rows=394
  L4 day=2026-01-12 hour=2 rows=399
  L4 day=2026-01-12 hour=3 rows=370
  L4 day=2026-01-12 hour=4 rows=482
  L4 day=2026-01-12 hour=5 rows=586
  L4 day=2026-01-12 hour=6 rows=1073
  L4 day=2026-01-12 hour=7 rows=636
  L4 day=2026-01-12 hour=8 rows=671
  L4 day=2026-01-12 hour=9 rows=644
  L4 day=2026-01-12 hour=10 rows=557
  L4 day=2026-01-12 hour=11 rows=541
  L4 day=2026-01-12 hour=12 rows=997
  L4 day=2026-01-12 hour=13 rows=512
  L4 day=2026-01-12 hour=14 rows=542
  L4 day=2026-01-12 hour=15 rows=503
  L4 day=2026-01-12 hour=16 rows=488
  L4 day=2026-01-12 hour=17 rows=441
  L4 day=2026-01-12 hour=18 rows=708
  L4 day=2026-01-12 hour=19 rows=334
  L4 day=2026-01-12 hour=20 rows=291
  L4 day=2026-01-12 hour=21 rows=292
  L4 day=2026-01-12 hour=22 rows=225
  L4 day=2026-01-12 hour=23 rows=211
  L4 day=2026-01-13 hour=0 rows=1566
  L4 day=2026-01-13 hour=1 rows=198
  L4 day=2026-01-13 hour=2 rows=174
  L4 day=2026-01-13 hour=3 rows=224
  L4 day=2026-01-13 hour=4 rows=298
  L4 day=2026-01-13 hour=5 rows=384
  L4 day=2026-01-13 hour=6 rows=846
  L4 day=2026-01-13 hour=7 rows=537
  L4 day=2026-01-13 hour=8 rows=573
  L4 day=2026-01-13 hour=9 rows=591
  L4 day=2026-01-13 hour=10 rows=580
  L4 day=2026-01-13 hour=11 rows=560
  L4 day=2026-01-13 hour=12 rows=974
  L4 day=2026-01-13 hour=13 rows=539
  L4 day=2026-01-13 hour=14 rows=532
  L4 day=2026-01-13 hour=15 rows=508
  L4 day=2026-01-13 hour=16 rows=512
  L4 day=2026-01-13 hour=17 rows=475
  L4 day=2026-01-13 hour=18 rows=869
  L4 day=2026-01-13 hour=19 rows=364
  L4 day=2026-01-13 hour=20 rows=335
  L4 day=2026-01-13 hour=21 rows=321
  L4 day=2026-01-13 hour=22 rows=248
  L4 day=2026-01-13 hour=23 rows=206
  L4 day=2026-01-14 hour=0 rows=1617
  L4 day=2026-01-14 hour=1 rows=206
  L4 day=2026-01-14 hour=2 rows=208
  L4 day=2026-01-14 hour=3 rows=241
  L4 day=2026-01-14 hour=4 rows=356
  L4 day=2026-01-14 hour=5 rows=451
  L4 day=2026-01-14 hour=6 rows=985
  L4 day=2026-01-14 hour=7 rows=539
  L4 day=2026-01-14 hour=8 rows=572
  L4 day=2026-01-14 hour=9 rows=571
  L4 day=2026-01-14 hour=10 rows=602
  L4 day=2026-01-14 hour=11 rows=561
  L4 day=2026-01-14 hour=12 rows=1054
  L4 day=2026-01-14 hour=13 rows=605
  L4 day=2026-01-14 hour=14 rows=588
  L4 day=2026-01-14 hour=15 rows=566
  L4 day=2026-01-14 hour=16 rows=503
  L4 day=2026-01-14 hour=17 rows=524
  L4 day=2026-01-14 hour=18 rows=849
  L4 day=2026-01-14 hour=19 rows=423
  L4 day=2026-01-14 hour=20 rows=465
  L4 day=2026-01-14 hour=21 rows=441
  L4 day=2026-01-14 hour=22 rows=377
  L4 day=2026-01-14 hour=23 rows=345
  L4 day=2026-01-15 hour=0 rows=1829
  L4 day=2026-01-15 hour=1 rows=411
  L4 day=2026-01-15 hour=2 rows=396
  L4 day=2026-01-15 hour=3 rows=314
  L4 day=2026-01-15 hour=4 rows=433
  L4 day=2026-01-15 hour=5 rows=526
  L4 day=2026-01-15 hour=6 rows=1014
  L4 day=2026-01-15 hour=7 rows=557
  L4 day=2026-01-15 hour=8 rows=610
  L4 day=2026-01-15 hour=9 rows=582
  L4 day=2026-01-15 hour=10 rows=576
  L4 day=2026-01-15 hour=11 rows=510
  L4 day=2026-01-15 hour=12 rows=1024
  L4 day=2026-01-15 hour=13 rows=590
  L4 day=2026-01-15 hour=14 rows=583
  L4 day=2026-01-15 hour=15 rows=511
  L4 day=2026-01-15 hour=16 rows=473
  L4 day=2026-01-15 hour=17 rows=459
  L4 day=2026-01-15 hour=18 rows=808
  L4 day=2026-01-15 hour=19 rows=363
  L4 day=2026-01-15 hour=20 rows=354
  L4 day=2026-01-15 hour=21 rows=340
  L4 day=2026-01-15 hour=22 rows=317
  L4 day=2026-01-15 hour=23 rows=224
  L4 day=2026-01-16 hour=0 rows=1683
  L4 day=2026-01-16 hour=1 rows=250
  L4 day=2026-01-16 hour=2 rows=297
  L4 day=2026-01-16 hour=3 rows=282
  L4 day=2026-01-16 hour=4 rows=385
  L4 day=2026-01-16 hour=5 rows=474
  L4 day=2026-01-16 hour=6 rows=902
  L4 day=2026-01-16 hour=7 rows=539
  L4 day=2026-01-16 hour=8 rows=561
  L4 day=2026-01-16 hour=9 rows=549
  L4 day=2026-01-16 hour=10 rows=546
  L4 day=2026-01-16 hour=11 rows=519
  L4 day=2026-01-16 hour=12 rows=936
  L4 day=2026-01-16 hour=13 rows=561
  L4 day=2026-01-16 hour=14 rows=538
  L4 day=2026-01-16 hour=15 rows=521
  L4 day=2026-01-16 hour=16 rows=544
  L4 day=2026-01-16 hour=17 rows=483
  L4 day=2026-01-16 hour=18 rows=867
  L4 day=2026-01-16 hour=19 rows=411
  L4 day=2026-01-16 hour=20 rows=419
  L4 day=2026-01-16 hour=21 rows=395
  L4 day=2026-01-16 hour=22 rows=320
  L4 day=2026-01-16 hour=23 rows=289
  L4 day=2026-01-17 hour=0 rows=1737
  L4 day=2026-01-17 hour=1 rows=247
  L4 day=2026-01-17 hour=2 rows=285
  L4 day=2026-01-17 hour=3 rows=300
  L4 day=2026-01-17 hour=4 rows=400
  L4 day=2026-01-17 hour=5 rows=550
  L4 day=2026-01-17 hour=6 rows=1055
  L4 day=2026-01-17 hour=7 rows=700
  L4 day=2026-01-17 hour=8 rows=711
  L4 day=2026-01-17 hour=9 rows=766
  L4 day=2026-01-17 hour=10 rows=780
  L4 day=2026-01-17 hour=11 rows=727
  L4 day=2026-01-17 hour=12 rows=1239
  L4 day=2026-01-17 hour=13 rows=671
  L4 day=2026-01-17 hour=14 rows=677
  L4 day=2026-01-17 hour=15 rows=656
  L4 day=2026-01-17 hour=16 rows=610
  L4 day=2026-01-17 hour=17 rows=547
  L4 day=2026-01-17 hour=18 rows=963
  L4 day=2026-01-17 hour=19 rows=405
  L4 day=2026-01-17 hour=20 rows=446
  L4 day=2026-01-17 hour=21 rows=397
  L4 day=2026-01-17 hour=22 rows=385
  L4 day=2026-01-17 hour=23 rows=377
  L4 day=2026-01-18 hour=0 rows=1879
  L4 day=2026-01-18 hour=1 rows=372
  L4 day=2026-01-18 hour=2 rows=332
  L4 day=2026-01-18 hour=3 rows=364
  L4 day=2026-01-18 hour=4 rows=418
  L4 day=2026-01-18 hour=5 rows=544
  L4 day=2026-01-18 hour=6 rows=1033
  L4 day=2026-01-18 hour=7 rows=617
  L4 day=2026-01-18 hour=8 rows=580
  L4 day=2026-01-18 hour=9 rows=664
  L4 day=2026-01-18 hour=10 rows=697
  L4 day=2026-01-18 hour=11 rows=696
  L4 day=2026-01-18 hour=12 rows=1221
  L4 day=2026-01-18 hour=13 rows=723
  L4 day=2026-01-18 hour=14 rows=785
  L4 day=2026-01-18 hour=15 rows=765
  L4 day=2026-01-18 hour=16 rows=710
  L4 day=2026-01-18 hour=17 rows=665
  L4 day=2026-01-18 hour=18 rows=1109
  L4 day=2026-01-18 hour=19 rows=627
  L4 day=2026-01-18 hour=20 rows=547
  L4 day=2026-01-18 hour=21 rows=523
  L4 day=2026-01-18 hour=22 rows=490
  L4 day=2026-01-18 hour=23 rows=405
  L4 day=2026-01-19 hour=0 rows=1999
  L4 day=2026-01-19 hour=1 rows=405
  L4 day=2026-01-19 hour=2 rows=424
  L4 day=2026-01-19 hour=3 rows=448
  L4 day=2026-01-19 hour=4 rows=542
  L4 day=2026-01-19 hour=5 rows=723
  L4 day=2026-01-19 hour=6 rows=1261
  L4 day=2026-01-19 hour=7 rows=875
  L4 day=2026-01-19 hour=8 rows=881
  L4 day=2026-01-19 hour=9 rows=907
  L4 day=2026-01-19 hour=10 rows=857
  L4 day=2026-01-19 hour=11 rows=771
  L4 day=2026-01-19 hour=12 rows=1341
  L4 day=2026-01-19 hour=13 rows=782
  L4 day=2026-01-19 hour=14 rows=798
  L4 day=2026-01-19 hour=15 rows=792
  L4 day=2026-01-19 hour=16 rows=778
  L4 day=2026-01-19 hour=17 rows=690
  L4 day=2026-01-19 hour=18 rows=1189
  L4 day=2026-01-19 hour=19 rows=515
  L4 day=2026-01-19 hour=20 rows=440
  L4 day=2026-01-19 hour=21 rows=456
  L4 day=2026-01-19 hour=22 rows=382
  L4 day=2026-01-19 hour=23 rows=380
  L4 day=2026-01-20 hour=0 rows=1848
  L4 day=2026-01-20 hour=1 rows=361
  L4 day=2026-01-20 hour=2 rows=379
  L4 day=2026-01-20 hour=3 rows=417
  L4 day=2026-01-20 hour=4 rows=527
