### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [278/376] region=(18,125) rows=110
  L2 [279/376] region=(18,127) rows=1
  L2 [280/376] region=(18,130) rows=54
  L2 [281/376] region=(19,120) rows=32
  L2 [282/376] region=(19,121) rows=10543
  L2 [283/376] region=(19,122) rows=5863
  L2 [284/376] region=(19,123) rows=1753
  L2 [285/376] region=(19,124) rows=6422
  L2 [286/376] region=(19,125) rows=2011
  L2 [287/376] region=(19,126) rows=346
  L2 [288/376] region=(19,127) rows=274
  L2 [289/376] region=(19,128) rows=36
  L2 [290/376] region=(19,129) rows=84
  L2 [291/376] region=(19,130) rows=237
  L2 [292/376] region=(19,131) rows=3
  L2 [293/376] region=(20,121) rows=336
  L2 [294/376] region=(20,122) rows=2747
  L2 [295/376] region=(20,123) rows=1008
  L2 [296/376] region=(20,124) rows=2017
  L2 [297/376] region=(20,125) rows=1704
  L2 [298/376] region=(20,126) rows=1088
  L2 [299/376] region=(20,127) rows=586
  L2 [300/376] region=(20,128) rows=635
  L2 [301/376] region=(20,129) rows=516
  L2 [302/376] region=(20,130) rows=337
  L2 [303/376] region=(20,131) rows=65
  L2 [304/376] region=(20,132) rows=35
  L2 [305/376] region=(20,135) rows=7
  L2 [306/376] region=(21,122) rows=2525
  L2 [307/376] region=(21,123) rows=709
  L2 [308/376] region=(21,124) rows=1108
  L2 [309/376] region=(21,125) rows=1514
  L2 [310/376] region=(21,126) rows=834
  L2 [311/376] region=(21,127) rows=86
  L2 [312/376] region=(21,128) rows=50
  L2 [313/376] region=(21,129) rows=263
  L2 [314/376] region=(21,130) rows=98
  L2 [315/376] region=(21,131) rows=19
  L2 [316/376] region=(21,132) rows=5
  L2 [317/376] region=(21,133) rows=23
  L2 [318/376] region=(21,134) rows=8
  L2 [319/376] region=(21,135) rows=2
  L2 [320/376] region=(22,121) rows=1074
  L2 [321/376] region=(22,122) rows=1648
  L2 [322/376] region=(22,123) rows=403
  L2 [323/376] region=(22,124) rows=783
  L2 [324/376] region=(22,125) rows=435
  L2 [325/376] region=(22,126) rows=411
  L2 [326/376] region=(22,127) rows=269
  L2 [327/376] region=(22,128) rows=755
  L2 [328/376] region=(22,129) rows=113
  L2 [329/376] region=(22,131) rows=1
  L2 [330/376] region=(22,132) rows=12
